"title","date","link"
"Sunset - VMware vSphere 6.5 STIG ","2023-07-20","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_VMW_vSphere_6-5_Y23M07_STIG.zip"
"Microsoft Edge STIG - Ver 1, Rel 7 ","2023-07-20","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_MS_Edge_V1R7_STIG.zip"
"Oracle Database 12c STIG - Ver 2, Rel 8 ","2023-07-20","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Oracle_Database_12c_V2R8_STIG.zip"
"Rancher Government Solutions Multi-Cluster Manager STIG - Ver 1, Rel 3 ","2023-07-20","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_RGS_MCM_V1R3_STIG.zip"
"Microsoft Azure SQL Database STIG - Ver 1, Rel 2 ","2023-07-20","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_MS_Azure_SQL_DB_V1R2_STIG.zip"
"General Purpose Operating System SRG - Ver 2, Rel 6 ","2023-07-20","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_GPOS_V2R6_SRG.zip"
"Mozilla Firefox STIG - Ver 6, Rel 5 ","2023-07-20","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_MOZ_Firefox_V6R5_STIG.zip"
"Palo Alto Networks Prisma Cloud Compute STIG - Ver 1, Rel 3 ","2023-07-20","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_PAN_Prisma_Cloud_Compute_V1R3_STIG.zip"
"Oracle MySQL 8.0 STIG - Ver 1, Rel 4 ","2023-07-20","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Oracle_MySQL_8-0_V1R4_STIG.zip"
"Jamf Pro v10.x EMM STIG - Ver 2, Rel 1 ","2023-07-20","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Jamf_Pro_v10-x_EMM_V2R1_STIG.zip"
"Juniper EX Series Switches STIG ","2023-07-20","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Juniper_EX_Switches_Y23M07_STIG.zip"
"Solaris 11 SPARC STIG - Ver 2, Rel 8 ","2023-07-20","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_SOL_11_SPARC_V2R8_STIG.zip"
"Rancher Government Solutions RKE2 STIG - Ver 1, Rel 3 ","2023-07-20","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_RGS_RKE2_V1R3_STIG.zip"
"Microsoft OneDrive STIG - Ver 2, Rel 3 ","2023-07-20","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_MS_OneDrive_V2R3_STIG.zip"
"Sunset - Esri ArcGIS for Server 10.3 STIG - Ver 2, Rel 1 ","2023-07-20","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_ArcGIS_Server_10-3_V2R1_STIG.zip"
"SUSE Linux Enterprise Server 12 STIG Benchmark - Ver 2, Rel 10 ","2023-07-20","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_SLES_12_V2R10_STIG_SCAP_1-2_Benchmark.zip"
"Sunset - Samsung Android OS 10 with Knox 3.x STIG - Ver 2, Rel 1 ","2023-07-20","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_SS_Android_10_Knox_3-x_V2R1_STIG.zip"
